lookup_text,fbw_percent,fbs_percent,dbs_percent,edbs_percent,cc_percent,booking_percent,lookup_norm,category_name,subject_name,category_norm,subject_norm
Рукоделие Станки для рукоделия,29.5,33.0,25.0,3.0,19.5,19.5,рукоделие станки для рукоделия,Рукоделие,Станки для рукоделия,рукоделие,станки для рукоделия
Ручной инструмент и оснастка Отвертки,31.5,35.0,25.0,3.0,21.5,21.5,ручной инструмент и оснастка отвертки,Ручной инструмент и оснастка,Отвертки,ручной инструмент и оснастка,отвертки
Ручной инструмент и оснастка Ломы,31.5,35.0,25.0,3.0,21.5,21.5,ручной инструмент и оснастка ломы,Ручной инструмент и оснастка,Ломы,ручной инструмент и оснастка,ломы
Ручной инструмент и оснастка Насадки для бензопил,31.5,35.0,25.0,3.0,21.5,21.5,ручной инструмент и оснастка насадки для бензопил,Ручной инструмент и оснастка Насадки для,бензопил,ручной инструмент и оснастка насадки для,бензопил
Ручной инструмент и оснастка Леса строительные,31.5,35.0,25.0,3.0,21.5,21.5,ручной инструмент и оснастка леса строительные,Ручной инструмент и оснастка,Леса строительные,ручной инструмент и оснастка,леса строительные
Ручной инструмент и оснастка Паяльники,31.5,35.0,25.0,3.0,21.5,21.5,ручной инструмент и оснастка паяльники,Ручной инструмент и оснастка,Паяльники,ручной инструмент и оснастка,паяльники
Ручной инструмент и оснастка Пассатижи,31.5,35.0,25.0,3.0,21.5,21.5,ручной инструмент и оснастка пассатижи,Ручной инструмент и оснастка,Пассатижи,ручной инструмент и оснастка,пассатижи
Ручной инструмент и оснастка Насадки на дрель,31.5,35.0,25.0,3.0,21.5,21.5,ручной инструмент и оснастка насадки на дрель,Ручной инструмент и оснастка Насадки,на дрель,ручной инструмент и оснастка насадки,на дрель
Ручной инструмент и оснастка Стеклодомкраты,31.0,34.5,25.0,3.0,21.5,21.5,ручной инструмент и оснастка стеклодомкраты,Ручной инструмент и оснастка,Стеклодомкраты,ручной инструмент и оснастка,стеклодомкраты
Ручной инструмент и оснастка Рулетки,31.0,34.5,25.0,3.0,21.5,21.5,ручной инструмент и оснастка рулетки,Ручной инструмент и оснастка,Рулетки,ручной инструмент и оснастка,рулетки
Ручной инструмент и оснастка Ключи трубные и газовые,31.5,35.0,25.0,3.0,21.5,21.5,ручной инструмент и оснастка ключи трубные и газовые,Ручной инструмент и оснастка Ключи,трубные и газовые,ручной инструмент и оснастка ключи,трубные и газовые
Ручной инструмент и оснастка Пирометры,31.5,35.0,25.0,3.0,21.5,21.5,ручной инструмент и оснастка пирометры,Ручной инструмент и оснастка,Пирометры,ручной инструмент и оснастка,пирометры
Ручной инструмент и оснастка Заклепочники,31.5,35.0,25.0,3.0,21.5,21.5,ручной инструмент и оснастка заклепочники,Ручной инструмент и оснастка,Заклепочники,ручной инструмент и оснастка,заклепочники
Ручной инструмент и оснастка Лестницы строительные,31.5,35.0,25.0,3.0,21.5,21.5,ручной инструмент и оснастка лестницы строительные,Ручной инструмент и оснастка,Лестницы строительные,ручной инструмент и оснастка,лестницы строительные
Ручной инструмент и оснастка Очки лазерные,31.5,35.0,25.0,3.0,21.5,21.5,ручной инструмент и оснастка очки лазерные,Ручной инструмент и оснастка,Очки лазерные,ручной инструмент и оснастка,очки лазерные
Ручной инструмент и оснастка Гидроуровни,31.5,35.0,25.0,3.0,21.5,21.5,ручной инструмент и оснастка гидроуровни,Ручной инструмент и оснастка,Гидроуровни,ручной инструмент и оснастка,гидроуровни
Ручной инструмент и оснастка Динамометры,31.5,35.0,25.0,3.0,21.5,21.5,ручной инструмент и оснастка динамометры,Ручной инструмент и оснастка,Динамометры,ручной инструмент и оснастка,динамометры
Ручной инструмент и оснастка Скребки строительные,31.5,35.0,25.0,3.0,21.5,21.5,ручной инструмент и оснастка скребки строительные,Ручной инструмент и оснастка,Скребки строительные,ручной инструмент и оснастка,скребки строительные
Ручной инструмент и оснастка Болторезы,31.5,35.0,25.0,3.0,21.5,21.5,ручной инструмент и оснастка болторезы,Ручной инструмент и оснастка,Болторезы,ручной инструмент и оснастка,болторезы
Ручной инструмент и оснастка Кабелерезы,31.5,35.0,25.0,3.0,21.5,21.5,ручной инструмент и оснастка кабелерезы,Ручной инструмент и оснастка,Кабелерезы,ручной инструмент и оснастка,кабелерезы
Ручной инструмент и оснастка Намагничиватели,31.5,35.0,25.0,3.0,21.5,21.5,ручной инструмент и оснастка намагничиватели,Ручной инструмент и оснастка,Намагничиватели,ручной инструмент и оснастка,намагничиватели
Ручной инструмент и оснастка Гладилки штукатурные,28.5,32.0,25.0,3.0,21.5,21.5,ручной инструмент и оснастка гладилки штукатурные,Ручной инструмент и оснастка,Гладилки штукатурные,ручной инструмент и оснастка,гладилки штукатурные
Ручной инструмент и оснастка Диски алмазные,23.5,27.0,25.0,3.0,21.5,21.5,ручной инструмент и оснастка диски алмазные,Ручной инструмент и оснастка,Диски алмазные,ручной инструмент и оснастка,диски алмазные
Ручной инструмент и оснастка Хоппер-ковши,31.5,35.0,25.0,3.0,21.5,21.5,ручной инструмент и оснастка хоппер ковши,Ручной инструмент и оснастка,Хоппер-ковши,ручной инструмент и оснастка,хоппер ковши
Ручной инструмент и оснастка Тали цепные,29.5,33.0,25.0,3.0,21.5,21.5,ручной инструмент и оснастка тали цепные,Ручной инструмент и оснастка,Тали цепные,ручной инструмент и оснастка,тали цепные
Ручной инструмент и оснастка Зубила слесарные,31.5,35.0,25.0,3.0,21.5,21.5,ручной инструмент и оснастка зубила слесарные,Ручной инструмент и оснастка,Зубила слесарные,ручной инструмент и оснастка,зубила слесарные
Ручной инструмент и оснастка Колеса промышленные,23.5,27.0,25.0,3.0,21.5,21.5,ручной инструмент и оснастка колеса промышленные,Ручной инструмент и оснастка,Колеса промышленные,ручной инструмент и оснастка,колеса промышленные
Ручной инструмент и оснастка Карандаши строительные,31.5,35.0,25.0,3.0,21.5,21.5,ручной инструмент и оснастка карандаши строительные,Ручной инструмент и оснастка,Карандаши строительные,ручной инструмент и оснастка,карандаши строительные
Ручной инструмент и оснастка Ложементы для инструментов,31.5,35.0,25.0,3.0,21.5,21.5,ручной инструмент и оснастка ложементы для инструментов,Ручной инструмент и оснастка,Ложементы для инструментов,ручной инструмент и оснастка,ложементы для инструментов
Ручной инструмент и оснастка Флюсы паяльные,30.5,34.0,25.0,3.0,21.5,21.5,ручной инструмент и оснастка флюсы паяльные,Ручной инструмент и оснастка,Флюсы паяльные,ручной инструмент и оснастка,флюсы паяльные
Ручной инструмент и оснастка Ультразвуковые детекторы,31.5,35.0,25.0,3.0,21.5,21.5,ручной инструмент и оснастка ультразвуковые детекторы,Ручной инструмент и оснастка,Ультразвуковые детекторы,ручной инструмент и оснастка,ультразвуковые детекторы
Ручной инструмент и оснастка Резаки для пенопласта,31.5,35.0,25.0,3.0,21.5,21.5,ручной инструмент и оснастка резаки для пенопласта,Ручной инструмент и оснастка,Резаки для пенопласта,ручной инструмент и оснастка,резаки для пенопласта
Ручной инструмент и оснастка Пассаметры,31.0,34.5,25.0,3.0,21.5,21.5,ручной инструмент и оснастка пассаметры,Ручной инструмент и оснастка,Пассаметры,ручной инструмент и оснастка,пассаметры
Ручной инструмент и оснастка Полотна для сабельных пил,31.5,35.0,25.0,3.0,21.5,21.5,ручной инструмент и оснастка полотна для сабельных пил,Ручной инструмент и оснастка,Полотна для сабельных пил,ручной инструмент и оснастка,полотна для сабельных пил
Ручной инструмент и оснастка Зажимы для тросов,31.5,35.0,25.0,3.0,21.5,21.5,ручной инструмент и оснастка зажимы для тросов,Ручной инструмент и оснастка,Зажимы для тросов,ручной инструмент и оснастка,зажимы для тросов
Ручной инструмент и оснастка Счетчики пылевых частиц,31.0,34.5,25.0,3.0,21.5,21.5,ручной инструмент и оснастка счетчики пылевых частиц,Ручной инструмент и оснастка,Счетчики пылевых частиц,ручной инструмент и оснастка,счетчики пылевых частиц
